Date(UTC),UnixTimeStamp,Value
1/16/16,1452902400,2.26503E+19
1/17/16,1452988800,1.70397E+19
1/18/16,1453075200,3.09188E+19
1/19/16,1453161600,3.5577E+19
1/20/16,1453248000,1.90135E+19
1/21/16,1453334400,2.0296E+19
1/22/16,1453420800,3.11813E+19
1/23/16,1453507200,1.74328E+19
1/24/16,1453593600,2.37309E+19
1/25/16,1453680000,4.01912E+19
1/26/16,1453766400,3.78981E+19
1/27/16,1453852800,5.68601E+19
1/28/16,1453939200,4.1356E+19
1/29/16,1454025600,3.74103E+19
1/30/16,1454112000,3.54293E+19
1/31/16,1454198400,3.38838E+19
2/1/16,1454284800,3.25392E+19
2/2/16,1454371200,2.94629E+19
2/3/16,1454457600,2.77292E+19
2/4/16,1454544000,3.27175E+19
2/5/16,1454630400,3.89744E+19
2/6/16,1454716800,2.40783E+20
2/7/16,1454803200,5.31207E+19
2/8/16,1454889600,3.78124E+19
2/9/16,1454976000,5.01669E+19
2/10/16,1455062400,5.88842E+19
2/11/16,1455148800,4.65235E+19
2/13/16,1455321600,3.61186E+19
2/12/16,1455235200,3.30655E+19
2/14/16,1455408000,2.7773E+19
2/15/16,1455494400,3.07253E+19
2/16/16,1455580800,3.32945E+19
2/17/16,1455667200,4.10194E+19
2/18/16,1455753600,2.92699E+19
2/19/16,1455840000,3.7036E+19
2/20/16,1455926400,2.67916E+19
2/21/16,1456012800,2.81407E+19
2/22/16,1456099200,3.25491E+19
2/23/16,1456185600,9.41644E+19
2/24/16,1456272000,5.20321E+19
2/25/16,1456358400,3.16128E+19
2/26/16,1456444800,5.08616E+19
2/27/16,1456531200,2.83747E+19
2/28/16,1456617600,2.93587E+19
2/29/16,1456704000,3.29442E+19
3/1/16,1456790400,3.39508E+19
3/2/16,1456876800,3.90788E+19
3/3/16,1456963200,3.53327E+19
3/4/16,1457049600,3.39632E+19
3/5/16,1457136000,3.38982E+19
3/6/16,1457222400,3.76921E+19
3/7/16,1457308800,3.03773E+19
3/8/16,1457395200,3.33475E+19
3/9/16,1457481600,2.60642E+19
3/10/16,1457568000,2.03467E+19
3/11/16,1457654400,1.92479E+19
3/12/16,1457740800,2.42939E+19
3/13/16,1457827200,2.56417E+19
3/14/16,1457913600,2.77887E+19
3/15/16,1458000000,2.4013E+19
3/16/16,1458086400,2.38728E+19
3/17/16,1458172800,3.16681E+19
3/18/16,1458259200,2.74327E+19
3/19/16,1458345600,4.42854E+19
3/20/16,1458432000,3.57289E+19
3/21/16,1458518400,3.24624E+19
3/22/16,1458604800,2.61395E+19
3/23/16,1458691200,3.26583E+19
3/24/16,1458777600,4.14098E+19
3/25/16,1458864000,4.03549E+19
3/26/16,1458950400,3.50564E+19
3/27/16,1459036800,1.92099E+19
3/28/16,1459123200,2.63821E+19
3/29/16,1459209600,2.39128E+19
3/30/16,1459296000,3.73775E+19
3/31/16,1459382400,2.50217E+19
4/1/16,1459468800,2.42374E+19
4/2/16,1459555200,1.80657E+19
4/3/16,1459641600,1.79369E+19
4/4/16,1459728000,2.48694E+19
4/5/16,1459814400,2.86069E+19
4/6/16,1459900800,2.16791E+19
4/7/16,1459987200,2.14127E+19
4/8/16,1460073600,2.51675E+19
4/9/16,1460160000,1.99981E+19
4/10/16,1460246400,1.9447E+19
4/11/16,1460332800,1.86565E+19
4/12/16,1460419200,2.2906E+19
4/13/16,1460505600,3.29671E+19
4/14/16,1460592000,3.17286E+19
4/15/16,1460678400,2.33789E+19
4/16/16,1460764800,1.72245E+19
4/17/16,1460851200,3.02082E+19
4/18/16,1460937600,2.00992E+19
4/19/16,1461024000,1.91049E+19
4/20/16,1461110400,2.38484E+19
4/21/16,1461196800,3.03808E+19
4/22/16,1461283200,2.05761E+19
4/23/16,1461369600,1.95139E+19
4/24/16,1461456000,2.2486E+19
4/25/16,1461542400,2.38622E+19
4/26/16,1461628800,2.16594E+19
4/27/16,1461715200,2.04502E+19
4/28/16,1461801600,2.26386E+19
4/29/16,1461888000,2.34353E+19
4/30/16,1461974400,3.21525E+19
5/1/16,1462060800,3.67007E+19
5/2/16,1462147200,2.74279E+19
5/3/16,1462233600,2.6841E+19
5/4/16,1462320000,2.73227E+19
5/5/16,1462406400,3.11348E+19
5/6/16,1462492800,3.51749E+19
5/7/16,1462579200,2.42278E+19
5/8/16,1462665600,2.89009E+19
5/9/16,1462752000,2.63419E+19
5/10/16,1462838400,2.77014E+19
5/11/16,1462924800,3.16268E+19
5/12/16,1463011200,3.92625E+19
5/13/16,1463097600,4.319E+19
5/14/16,1463184000,3.54513E+19
5/15/16,1463270400,3.13052E+19
5/16/16,1463356800,2.75984E+19
5/17/16,1463443200,2.84667E+19
5/18/16,1463529600,3.507E+19
5/19/16,1463616000,3.31447E+19
5/20/16,1463702400,3.8028E+19
5/21/16,1463788800,3.57999E+19
5/22/16,1463875200,2.88761E+19
5/23/16,1463961600,2.96344E+19
5/24/16,1464048000,2.85958E+19
5/25/16,1464134400,3.27334E+19
5/26/16,1464220800,3.55584E+19
5/28/16,1464393600,8.09728E+19
5/27/16,1464307200,3.79957E+19
5/29/16,1464480000,3.87887E+19
5/30/16,1464566400,3.18557E+19
5/31/16,1464652800,3.11542E+19
6/1/16,1464739200,3.12008E+19
6/2/16,1464825600,2.58601E+19
6/3/16,1464912000,2.52401E+19
6/4/16,1464998400,2.43835E+19
6/5/16,1465084800,2.38388E+19
6/6/16,1465171200,2.58662E+19
6/7/16,1465257600,6.74821E+19
6/8/16,1465344000,2.84308E+19
6/9/16,1465430400,2.88948E+19
6/10/16,1465516800,2.88965E+19
6/11/16,1465603200,2.72246E+19
6/12/16,1465689600,2.91641E+19
6/13/16,1465776000,3.69065E+19
6/14/16,1465862400,3.84692E+19
6/15/16,1465948800,3.04564E+19
6/16/16,1466035200,4.08153E+19
6/17/16,1466121600,2.29306E+20
6/18/16,1466208000,2.71195E+20
6/19/16,1466294400,5.41275E+19
6/20/16,1466380800,5.17672E+19
6/21/16,1466467200,8.28444E+19
6/22/16,1466553600,5.14451E+19
6/24/16,1466726400,3.94267E+19
6/23/16,1466640000,3.19783E+19
6/25/16,1466812800,2.83016E+19
6/26/16,1466899200,2.7468E+19
6/27/16,1466985600,2.76581E+19
6/28/16,1467072000,3.21002E+19
6/29/16,1467158400,5.68565E+19
6/30/16,1467244800,8.78874E+19
7/1/16,1467331200,4.54541E+19
7/2/16,1467417600,2.43756E+19
7/3/16,1467504000,3.07269E+19
7/4/16,1467590400,2.67729E+19
7/5/16,1467676800,3.01589E+19
7/6/16,1467763200,2.96921E+19
7/7/16,1467849600,2.66133E+19
7/8/16,1467936000,3.93475E+19
7/9/16,1468022400,4.91147E+19
7/10/16,1468108800,2.76461E+19
7/11/16,1468195200,2.85487E+19
7/12/16,1468281600,3.26386E+19
7/13/16,1468368000,2.47498E+19
7/14/16,1468454400,3.24096E+19
7/15/16,1468540800,2.9147E+19
7/16/16,1468627200,2.38809E+19
7/17/16,1468713600,1.9647E+19
7/18/16,1468800000,2.56533E+19
7/19/16,1468886400,2.92179E+19
7/20/16,1468972800,7.55857E+19
7/21/16,1469059200,3.42105E+19
7/22/16,1469145600,3.74178E+19
7/23/16,1469232000,3.30563E+19
7/24/16,1469318400,3.73464E+19
7/25/16,1469404800,3.94303E+19
7/26/16,1469491200,4.54889E+19
7/27/16,1469577600,3.82401E+19
7/28/16,1469664000,6.39513E+19
7/29/16,1469750400,4.5682E+19
7/30/16,1469836800,2.99905E+19
7/31/16,1469923200,3.03715E+19
8/1/16,1470009600,3.04418E+19
8/2/16,1470096000,3.3964E+19
8/3/16,1470182400,3.3026E+19
8/4/16,1470268800,3.24119E+19
8/5/16,1470355200,2.94046E+19
8/6/16,1470441600,2.60545E+19
8/7/16,1470528000,2.7696E+19
8/8/16,1470614400,5.38966E+19
8/10/16,1470787200,3.34222E+19
8/9/16,1470700800,3.14768E+19
8/11/16,1470873600,3.20867E+19
8/12/16,1470960000,3.01999E+19
8/13/16,1471046400,2.50778E+19
8/14/16,1471132800,2.41981E+19
8/15/16,1471219200,2.71552E+19
8/16/16,1471305600,3.11643E+19
8/17/16,1471392000,2.87017E+19
8/18/16,1471478400,3.60615E+19
8/19/16,1471564800,2.98324E+19
8/20/16,1471651200,2.66077E+19
8/21/16,1471737600,2.90174E+19
8/22/16,1471824000,2.99095E+19
8/23/16,1471910400,7.21186E+19
8/24/16,1471996800,3.00033E+19
8/25/16,1472083200,3.24829E+19
8/26/16,1472169600,3.15759E+19
8/27/16,1472256000,2.85799E+19
8/28/16,1472342400,2.57273E+19
8/29/16,1472428800,2.94069E+19
8/30/16,1472515200,3.22464E+19
